Restaurant Name,Area/City,Cuisine Type,Has Website,Website Quality (1-5),Website URL,Instagram Handle,Phone/WhatsApp,Email,Owner/Manager Name,Delivery Apps (Talabat/Snoonu),Lead Source,Priority (High/Med/Low),Status,Date Contacted,Follow-up Date,Demo Built,Quoted Price (QAR),Notes
Example Shawarma House,Doha - Al Sadd,Lebanese,No,,,@example_shawarma,+974 5000 0000,,Ahmed,Talabat,Google Maps,High,Not Contacted,,,No,,No website - only Instagram. Good candidate. (DELETE this example row)
Mashawi Al Arabi,Doha - Old Airport,Shawarma/Grill,Verify,,,,,,,Talabat,QatarLiving/QIC guide,High,Not Contacted,,,No,,Famous QAR 8 shawarma. Standing/takeaway spot - likely no proper website. Strong candidate.
Afghan Brothers,Doha - Al Mirqab Al Jadeed,Afghan/Mandi,Verify,,,,,,,Talabat,QIC guide,Med,Not Contacted,,,No,,Small chain (many branches). Check if they have a real site or just delivery pages.
Turkey Central,Doha - Al Mirqab Al Jadeed,Turkish,Verify,,,,,,,Talabat,TimeOut/QIC guide,Med,Not Contacted,,,No,,Old-school long-running spot. Likely outdated or no website - good target.
Shay & Rqaq,Doha,Arabic Breakfast,Verify,,,,,,,,QIC guide,High,Not Contacted,,,No,,Breakfast spot. Check web presence.
Al Maha Restaurant,Doha,Buffet,Verify,,,,,,,,QIC guide,Med,Not Contacted,,,No,,Buffet restaurant. Verify website status.
Danat Al Bahar,Doha,Seafood,Verify,,,,,,,,QIC guide,Med,Not Contacted,,,No,,Affordable seafood. Verify web presence.
Mr. Broast Nikhat,Doha - Old Airport,Indian/Biryani,Verify,,,,,,,Talabat,QIC guide,High,Not Contacted,,,No,,Indian, strong delivery, likely no standalone site. Good candidate.
Jimbu Thakali,Doha,Nepali,Verify,,,,,,,Talabat,QatarLiving guide,High,Not Contacted,,,No,,Chicken biryani QAR 14. Small Nepali spot - likely no website.
The Gurkha,Doha,Nepali/Thali,Verify,,,,,,,,QatarLiving guide,High,Not Contacted,,,No,,Thali spot. Small independent - strong candidate.
Mama Rozie,Doha - Al Muntazah,Home Food,Verify,,,@mamarozieqa,+974 7045 6262,,,,,TimeOut guide,High,Not Contacted,,,No,,Instagram-only home food business. Phone listed. Excellent candidate - probably no website at all.
,,,,,,,,,,,,,Not Contacted,,,No,,
,,,,,,,,,,,,,Not Contacted,,,No,,
,,,,,,,,,,,,,Not Contacted,,,No,,
,,,,,,,,,,,,,Not Contacted,,,No,,
,,,,,,,,,,,,,Not Contacted,,,No,,
